__time,terminal,flight,arrivals,departures
2006-01-01T00:00:00.000Z,Imperial Terminal,Domestic,490,498
2006-01-01T00:00:00.000Z,Misc. Terminal,Domestic,753,688
2006-01-01T00:00:00.000Z,Terminal 1,Domestic,401535,389745
2006-01-01T00:00:00.000Z,Terminal 1,International,0,561
2006-01-01T00:00:00.000Z,Terminal 2,Domestic,98991,93672
2006-01-01T00:00:00.000Z,Terminal 2,International,163067,156751
2006-01-01T00:00:00.000Z,Terminal 3,Domestic,121649,120111
2006-01-01T00:00:00.000Z,Terminal 3,International,26585,60948
2006-01-01T00:00:00.000Z,Terminal 4,Domestic,381419,374238
2006-01-01T00:00:00.000Z,Terminal 4,International,68348,42256
2006-01-01T00:00:00.000Z,Terminal 5,Domestic,135622,128138
2006-01-01T00:00:00.000Z,Terminal 5,International,32634,25531
2006-01-01T00:00:00.000Z,Terminal 6,Domestic,195820,195765
2006-01-01T00:00:00.000Z,Terminal 6,International,6190,5567
2006-01-01T00:00:00.000Z,Terminal 7,Domestic,240807,231679
2006-01-01T00:00:00.000Z,Terminal 7,International,36658,43104
2006-01-01T00:00:00.000Z,Terminal 8,Domestic,101253,100406
2006-01-01T00:00:00.000Z,Tom Bradley International Terminal,Domestic,2658,0
2006-01-01T00:00:00.000Z,Tom Bradley International Terminal,International,410940,361082
2006-02-01T00:00:00.000Z,Imperial Terminal,Domestic,200,166
2006-02-01T00:00:00.000Z,Misc. Terminal,Domestic,214,183
2006-02-01T00:00:00.000Z,Terminal 1,Domestic,350829,346828
2006-02-01T00:00:00.000Z,Terminal 1,International,0,575
2006-02-01T00:00:00.000Z,Terminal 2,Domestic,88549,87518
2006-02-01T00:00:00.000Z,Terminal 2,International,135504,135798
2006-02-01T00:00:00.000Z,Terminal 3,Domestic,115531,115461
2006-02-01T00:00:00.000Z,Terminal 3,International,24681,56437
2006-02-01T00:00:00.000Z,Terminal 4,Domestic,341132,340906
2006-02-01T00:00:00.000Z,Terminal 4,International,59514,37848
2006-02-01T00:00:00.000Z,Terminal 5,Domestic,119847,121053
2006-02-01T00:00:00.000Z,Terminal 5,International,26363,25875
2006-02-01T00:00:00.000Z,Terminal 6,Domestic,179516,182833
2006-02-01T00:00:00.000Z,Terminal 6,International,5816,3839
2006-02-01T00:00:00.000Z,Terminal 7,Domestic,226341,224219
2006-02-01T00:00:00.000Z,Terminal 7,International,29077,37687
2006-02-01T00:00:00.000Z,Terminal 8,Domestic,102735,99663
2006-02-01T00:00:00.000Z,Tom Bradley International Terminal,Domestic,2239,0
2006-02-01T00:00:00.000Z,Tom Bradley International Terminal,International,323229,301949
2006-03-01T00:00:00.000Z,Imperial Terminal,Domestic,200,210
2006-03-01T00:00:00.000Z,Misc. Terminal,Domestic,727,601
2006-03-01T00:00:00.000Z,Terminal 1,Domestic,425575,430774
2006-03-01T00:00:00.000Z,Terminal 1,International,0,602
2006-03-01T00:00:00.000Z,Terminal 2,Domestic,104482,105012
2006-03-01T00:00:00.000Z,Terminal 2,International,152411,151851
2006-03-01T00:00:00.000Z,Terminal 3,Domestic,139916,137800
2006-03-01T00:00:00.000Z,Terminal 3,International,26501,66573
2006-03-01T00:00:00.000Z,Terminal 4,Domestic,402709,413534
2006-03-01T00:00:00.000Z,Terminal 4,International,71866,40511
2006-03-01T00:00:00.000Z,Terminal 5,Domestic,157999,163103
2006-03-01T00:00:00.000Z,Terminal 5,International,26383,25504
2006-03-01T00:00:00.000Z,Terminal 6,Domestic,211470,215690
2006-03-01T00:00:00.000Z,Terminal 6,International,6613,4583
2006-03-01T00:00:00.000Z,Terminal 7,Domestic,272761,280632
2006-03-01T00:00:00.000Z,Terminal 7,International,36015,43017
2006-03-01T00:00:00.000Z,Terminal 8,Domestic,123912,121600
2006-03-01T00:00:00.000Z,Tom Bradley International Terminal,Domestic,2350,0
2006-03-01T00:00:00.000Z,Tom Bradley International Terminal,International,379129,347678
2006-03-31T23:00:00.000Z,Imperial Terminal,Domestic,545,445
2006-03-31T23:00:00.000Z,Misc. Terminal,Domestic,512,426
2006-03-31T23:00:00.000Z,Terminal 1,Domestic,435996,439128
2006-03-31T23:00:00.000Z,Terminal 1,International,0,811
2006-03-31T23:00:00.000Z,Terminal 2,Domestic,100241,103348
2006-03-31T23:00:00.000Z,Terminal 2,International,154905,147160
2006-03-31T23:00:00.000Z,Terminal 3,Domestic,131026,137904
2006-03-31T23:00:00.000Z,Terminal 3,International,25800,66570
2006-03-31T23:00:00.000Z,Terminal 4,Domestic,408030,413701
2006-03-31T23:00:00.000Z,Terminal 4,International,66472,45322
2006-03-31T23:00:00.000Z,Terminal 5,Domestic,156099,158133
2006-03-31T23:00:00.000Z,Terminal 5,International,28977,28241
2006-03-31T23:00:00.000Z,Terminal 6,Domestic,211819,223222
2006-03-31T23:00:00.000Z,Terminal 6,International,9870,5810
2006-03-31T23:00:00.000Z,Terminal 7,Domestic,269491,270784
2006-03-31T23:00:00.000Z,Terminal 7,International,33734,39491
2006-03-31T23:00:00.000Z,Terminal 8,Domestic,111821,108348
2006-03-31T23:00:00.000Z,Tom Bradley International Terminal,Domestic,2021,0
2006-03-31T23:00:00.000Z,Tom Bradley International Terminal,International,412808,338863
2006-04-30T23:00:00.000Z,Imperial Terminal,Domestic,210,229
2006-04-30T23:00:00.000Z,Imperial Terminal,International,54,45
2006-04-30T23:00:00.000Z,Misc. Terminal,Domestic,286,254
2006-04-30T23:00:00.000Z,Terminal 1,Domestic,449152,435464
2006-04-30T23:00:00.000Z,Terminal 1,International,0,577
2006-04-30T23:00:00.000Z,Terminal 2,Domestic,103178,102882
2006-04-30T23:00:00.000Z,Terminal 2,International,154867,160172
2006-04-30T23:00:00.000Z,Terminal 3,Domestic,141814,145835
2006-04-30T23:00:00.000Z,Terminal 3,International,21559,56538
2006-04-30T23:00:00.000Z,Terminal 4,Domestic,421319,416106
2006-04-30T23:00:00.000Z,Terminal 4,International,63381,49805
2006-04-30T23:00:00.000Z,Terminal 5,Domestic,150001,146731
2006-04-30T23:00:00.000Z,Terminal 5,International,29699,28671
2006-04-30T23:00:00.000Z,Terminal 6,Domestic,218606,219638
2006-04-30T23:00:00.000Z,Terminal 6,International,4187,5009
2006-04-30T23:00:00.000Z,Terminal 7,Domestic,278391,278511
2006-04-30T23:00:00.000Z,Terminal 7,International,32810,36643
2006-04-30T23:00:00.000Z,Terminal 8,Domestic,118195,113395
2006-04-30T23:00:00.000Z,Tom Bradley International Terminal,Domestic,2944,0
2006-04-30T23:00:00.000Z,Tom Bradley International Terminal,International,403756,386494
