__time,name,nationality,sex,height,weight,sport,gold,silver,bronze
2016-01-01T00:00:00.000Z,A Jesus Garcia,ESP,male,172,64,athletics,0,0,0
2016-01-01T00:00:00.000Z,A Lam Shin,KOR,female,168,56,fencing,0,0,0
2016-01-01T00:00:00.000Z,Aaron Brown,CAN,male,198,79,athletics,0,0,1
2016-01-01T00:00:00.000Z,Aaron Cook,MDA,male,183,80,taekwondo,0,0,0
2016-01-01T00:00:00.000Z,Aaron Gate,NZL,male,181,71,cycling,0,0,0
2016-01-01T00:00:00.000Z,Aaron Royle,AUS,male,180,67,triathlon,0,0,0
2016-01-01T00:00:00.000Z,Aaron Russell,USA,male,204.99999999999997,98,volleyball,0,0,1
2016-01-01T00:00:00.000Z,Aaron Younger,AUS,male,193,100,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Aauri Lorena Bokesa,ESP,female,180,62,athletics,0,0,0
2016-01-01T00:00:00.000Z,Ababel Yeshaneh,ETH,female,165,54,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abadi Hadis,ETH,male,170,63,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abbas Abubakar Abbas,BRN,male,175,66,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abbas Qali,IOA,male,0,0,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Abbey D'Agostino,USA,female,161,49,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abbey Weitzeil,USA,female,178,68,aquatics,1,1,0
2016-01-01T00:00:00.000Z,Abbie Brown,GBR,female,176,71,rugby sevens,0,0,0
2016-01-01T00:00:00.000Z,Abbos Rakhmonov,UZB,male,161,57,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Abbubaker Mobara,RSA,male,175,64,football,0,0,0
2016-01-01T00:00:00.000Z,Abby Erceg,NZL,female,175,68,football,0,0,0
2016-01-01T00:00:00.000Z,Abd Elhalim Mohamed Abou,EGY,male,210,88,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Abdalaati Iguider,MAR,male,173,57,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdalelah Haroun,QAT,male,185,80,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdalla Targan,SUD,male,177,65,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdel Aziz Mehelba,EGY,male,176,80,shooting,0,0,0
2016-01-01T00:00:00.000Z,Abdelati El Guesse,MAR,male,190,72,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdelaziz Merzougui,ESP,male,175,67,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdelaziz Mohamed Ahmed,SUD,male,181,72,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Abdelghani Demmou,ALG,male,185,75,football,0,0,0
2016-01-01T00:00:00.000Z,Abdelhafid Benchabla,ALG,male,186,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Abdelhakim Amokrane,ALG,male,186,70,football,0,0,0
2016-01-01T00:00:00.000Z,Abdelkader Chadi,ALG,male,178,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Abdelkadir Salhi,ALG,male,185,79,football,0,0,0
2016-01-01T00:00:00.000Z,Abdelkebir Ouaddar,MAR,male,174,67,equestrian,0,0,0
2016-01-01T00:00:00.000Z,Abdelkhalek Elbanna,EGY,male,193,95,rowing,0,0,0
2016-01-01T00:00:00.000Z,Abdellatif Mohamed Ahmed Mohamed,EGY,male,176,120,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Abdelmajid El Hissouf,MAR,male,170,56,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdelmalik Lahoulou,ALG,male,177,72,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,185,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Abdelraouf Benguit,ALG,male,170,65,football,0,0,0
2016-01-01T00:00:00.000Z,Abderrahmane Benamadi,ALG,male,183,90,judo,0,0,0
2016-01-01T00:00:00.000Z,Abderrahmane Mansouri,ALG,male,172,66,cycling,0,0,0
2016-01-01T00:00:00.000Z,Abderrahmane Meziane,ALG,male,168,62,football,0,0,0
2016-01-01T00:00:00.000Z,Abdi Hakin Ulad,DEN,male,175,57,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdi Nageeye,NED,male,165,54,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdi Waiss Mouhyadin,DJI,male,160,60,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdoul Khadre Mbaye Niane,SEN,male,190,90,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Abdoulkarim Fawziya,CMR,female,180,67,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Abdoullah Bamoussa,ITA,male,0,0,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdoulrazak Issoufou Alfaga,NIG,male,206.99999999999997,98,taekwondo,0,1,0
2016-01-01T00:00:00.000Z,Abdul Khalili,SWE,male,181,71,football,0,0,0
2016-01-01T00:00:00.000Z,Abdul Omar,GHA,male,0,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Abdul Wahab Zahiri,AFG,male,175,68,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdulaziz Alshatti,IOA,male,0,0,fencing,0,0,0
2016-01-01T00:00:00.000Z,Abdulkadir Abdullayev,AZE,male,188,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Abdullah Abkar Mohammed,KSA,male,172,73,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abdullah Alrashidi,IOA,male,183,84,shooting,0,0,1
2016-01-01T00:00:00.000Z,Abdullah Hel Baki,BAN,male,0,0,shooting,0,0,0
2016-01-01T00:00:00.000Z,Abdullahi Shehu,NGR,male,170,0,football,0,0,1
2016-01-01T00:00:00.000Z,Abdullo Tangriev,UZB,male,190,132,judo,0,0,0
2016-01-01T00:00:00.000Z,Abdulrahman Al Faihan,IOA,male,0,0,shooting,0,0,0
2016-01-01T00:00:00.000Z,Abdulrashid Sadulaev,RUS,male,177,86,wrestling,1,0,0
2016-01-01T00:00:00.000Z,Abdulrazzaq Murad,QAT,male,186,77,handball,0,0,0
2016-01-01T00:00:00.000Z,Abeku Gyekye Jackson,GHA,male,0,0,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Abhinav Bindra,IND,male,175,70,shooting,0,0,0
2016-01-01T00:00:00.000Z,Abigail Johnston,USA,female,166,61,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Abigel Joo,HUN,female,183,76,judo,0,0,0
2016-01-01T00:00:00.000Z,Ablaikhan Zhussupov,KAZ,male,175,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Abraham Kipchirchir Rotich,BRN,male,183,65,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abraham Naibei Cheroben,BRN,male,176,60,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abraham Niyonkuru,BDI,male,162,52,athletics,0,0,0
