date,count,industry
2000-01-01T08:00:00.000Z,430,Government
2000-02-01T08:00:00.000Z,409,Government
2000-03-01T08:00:00.000Z,311,Government
2000-04-01T08:00:00.000Z,269,Government
2000-05-01T07:00:00.000Z,370,Government
2000-06-01T07:00:00.000Z,603,Government
2000-07-01T07:00:00.000Z,545,Government
2000-08-01T07:00:00.000Z,583,Government
2000-09-01T07:00:00.000Z,408,Government
2000-10-01T07:00:00.000Z,391,Government
2000-11-01T08:00:00.000Z,384,Government
2000-12-01T08:00:00.000Z,365,Government
2001-01-01T08:00:00.000Z,463,Government
2001-02-01T08:00:00.000Z,298,Government
2001-03-01T08:00:00.000Z,355,Government
2001-04-01T08:00:00.000Z,369,Government
2001-05-01T07:00:00.000Z,361,Government
2001-06-01T07:00:00.000Z,525,Government
2001-07-01T07:00:00.000Z,548,Government
2001-08-01T07:00:00.000Z,540,Government
2001-09-01T07:00:00.000Z,438,Government
2001-10-01T07:00:00.000Z,429,Government
2001-11-01T08:00:00.000Z,420,Government
2001-12-01T08:00:00.000Z,419,Government
2002-01-01T08:00:00.000Z,486,Government
2002-02-01T08:00:00.000Z,508,Government
2002-03-01T08:00:00.000Z,477,Government
2002-04-01T08:00:00.000Z,447,Government
2002-05-01T07:00:00.000Z,484,Government
2002-06-01T07:00:00.000Z,561,Government
2002-07-01T07:00:00.000Z,645,Government
2002-08-01T07:00:00.000Z,596,Government
2002-09-01T07:00:00.000Z,530,Government
2002-10-01T07:00:00.000Z,499,Government
2002-11-01T08:00:00.000Z,468,Government
2002-12-01T08:00:00.000Z,446,Government
2003-01-01T08:00:00.000Z,571,Government
2003-02-01T08:00:00.000Z,483,Government
2003-03-01T08:00:00.000Z,526,Government
2003-04-01T08:00:00.000Z,440,Government
2003-05-01T07:00:00.000Z,478,Government
2003-06-01T07:00:00.000Z,704,Government
2003-07-01T07:00:00.000Z,749,Government
2003-08-01T07:00:00.000Z,745,Government
2003-09-01T07:00:00.000Z,556,Government
2003-10-01T07:00:00.000Z,500,Government
2003-11-01T08:00:00.000Z,542,Government
2003-12-01T08:00:00.000Z,516,Government
2004-01-01T08:00:00.000Z,511,Government
2004-02-01T08:00:00.000Z,490,Government
2004-03-01T08:00:00.000Z,530,Government
2004-04-01T08:00:00.000Z,433,Government
2004-05-01T07:00:00.000Z,468,Government
2004-06-01T07:00:00.000Z,580,Government
2004-07-01T07:00:00.000Z,741,Government
2004-08-01T07:00:00.000Z,676,Government
2004-09-01T07:00:00.000Z,568,Government
2004-10-01T07:00:00.000Z,561,Government
2004-11-01T08:00:00.000Z,514,Government
2004-12-01T08:00:00.000Z,499,Government
2005-01-01T08:00:00.000Z,555,Government
2005-02-01T08:00:00.000Z,472,Government
2005-03-01T08:00:00.000Z,468,Government
2005-04-01T08:00:00.000Z,478,Government
2005-05-01T07:00:00.000Z,453,Government
2005-06-01T07:00:00.000Z,681,Government
2005-07-01T07:00:00.000Z,683,Government
2005-08-01T07:00:00.000Z,664,Government
2005-09-01T07:00:00.000Z,568,Government
2005-10-01T07:00:00.000Z,502,Government
2005-11-01T08:00:00.000Z,494,Government
2005-12-01T08:00:00.000Z,393,Government
2006-01-01T08:00:00.000Z,457,Government
2006-02-01T08:00:00.000Z,472,Government
2006-03-01T08:00:00.000Z,461,Government
2006-04-01T08:00:00.000Z,414,Government
2006-05-01T07:00:00.000Z,429,Government
2006-06-01T07:00:00.000Z,578,Government
2006-07-01T07:00:00.000Z,659,Government
2006-08-01T07:00:00.000Z,595,Government
2006-09-01T07:00:00.000Z,396,Government
2006-10-01T07:00:00.000Z,424,Government
2006-11-01T08:00:00.000Z,400,Government
2006-12-01T08:00:00.000Z,395,Government
2007-01-01T08:00:00.000Z,476,Government
2007-02-01T08:00:00.000Z,405,Government
2007-03-01T08:00:00.000Z,419,Government
2007-04-01T07:00:00.000Z,408,Government
2007-05-01T07:00:00.000Z,428,Government
2007-06-01T07:00:00.000Z,572,Government
2007-07-01T07:00:00.000Z,704,Government
2007-08-01T07:00:00.000Z,695,Government
2007-09-01T07:00:00.000Z,525,Government
2007-10-01T07:00:00.000Z,492,Government
2007-11-01T07:00:00.000Z,482,Government
2007-12-01T08:00:00.000Z,451,Government
2008-01-01T08:00:00.000Z,471,Government
2008-02-01T08:00:00.000Z,372,Government
2008-03-01T08:00:00.000Z,425,Government
2008-04-01T07:00:00.000Z,373,Government
2008-05-01T07:00:00.000Z,461,Government
2008-06-01T07:00:00.000Z,654,Government
2008-07-01T07:00:00.000Z,770,Government
2008-08-01T07:00:00.000Z,721,Government
2008-09-01T07:00:00.000Z,573,Government
2008-10-01T07:00:00.000Z,552,Government
2008-11-01T07:00:00.000Z,527,Government
2008-12-01T08:00:00.000Z,511,Government
2009-01-01T08:00:00.000Z,652,Government
2009-02-01T08:00:00.000Z,563,Government
2009-03-01T08:00:00.000Z,598,Government
2009-04-01T07:00:00.000Z,575,Government
2009-05-01T07:00:00.000Z,702,Government
2009-06-01T07:00:00.000Z,991,Government
2009-07-01T07:00:00.000Z,1129,Government
2009-08-01T07:00:00.000Z,1118,Government
2009-09-01T07:00:00.000Z,928,Government
2009-10-01T07:00:00.000Z,785,Government
2009-11-01T07:00:00.000Z,748,Government
2009-12-01T08:00:00.000Z,797,Government
2010-01-01T08:00:00.000Z,948,Government
2010-02-01T08:00:00.000Z,880,Government
2000-01-01T08:00:00.000Z,19,Mining and Extraction
2000-02-01T08:00:00.000Z,25,Mining and Extraction
2000-03-01T08:00:00.000Z,17,Mining and Extraction
2000-04-01T08:00:00.000Z,20,Mining and Extraction
2000-05-01T07:00:00.000Z,27,Mining and Extraction
2000-06-01T07:00:00.000Z,13,Mining and Extraction
2000-07-01T07:00:00.000Z,16,Mining and Extraction
2000-08-01T07:00:00.000Z,23,Mining and Extraction
2000-09-01T07:00:00.000Z,25,Mining and Extraction
2000-10-01T07:00:00.000Z,39,Mining and Extraction
2000-11-01T08:00:00.000Z,11,Mining and Extraction
2000-12-01T08:00:00.000Z,20,Mining and Extraction
2001-01-01T08:00:00.000Z,11,Mining and Extraction
2001-02-01T08:00:00.000Z,27,Mining and Extraction
2001-03-01T08:00:00.000Z,14,Mining and Extraction
2001-04-01T08:00:00.000Z,24,Mining and Extraction
2001-05-01T07:00:00.000Z,34,Mining and Extraction
2001-06-01T07:00:00.000Z,26,Mining and Extraction
2001-07-01T07:00:00.000Z,17,Mining and Extraction
2001-08-01T07:00:00.000Z,18,Mining and Extraction
2001-09-01T07:00:00.000Z,23,Mining and Extraction
2001-10-01T07:00:00.000Z,32,Mining and Extraction
2001-11-01T08:00:00.000Z,20,Mining and Extraction
2001-12-01T08:00:00.000Z,27,Mining and Extraction
2002-01-01T08:00:00.000Z,33,Mining and Extraction
2002-02-01T08:00:00.000Z,35,Mining and Extraction
2002-03-01T08:00:00.000Z,28,Mining and Extraction
2002-04-01T08:00:00.000Z,33,Mining and Extraction
2002-05-01T07:00:00.000Z,25,Mining and Extraction
2002-06-01T07:00:00.000Z,35,Mining and Extraction
2002-07-01T07:00:00.000Z,19,Mining and Extraction
2002-08-01T07:00:00.000Z,32,Mining and Extraction
2002-09-01T07:00:00.000Z,42,Mining and Extraction
2002-10-01T07:00:00.000Z,36,Mining and Extraction
2002-11-01T08:00:00.000Z,32,Mining and Extraction
2002-12-01T08:00:00.000Z,45,Mining and Extraction
2003-01-01T08:00:00.000Z,54,Mining and Extraction
2003-02-01T08:00:00.000Z,41,Mining and Extraction
2003-03-01T08:00:00.000Z,46,Mining and Extraction
2003-04-01T08:00:00.000Z,41,Mining and Extraction
2003-05-01T07:00:00.000Z,40,Mining and Extraction
2003-06-01T07:00:00.000Z,36,Mining and Extraction
2003-07-01T07:00:00.000Z,43,Mining and Extraction
2003-08-01T07:00:00.000Z,20,Mining and Extraction
2003-09-01T07:00:00.000Z,25,Mining and Extraction
2003-10-01T07:00:00.000Z,31,Mining and Extraction
2003-11-01T08:00:00.000Z,34,Mining and Extraction
2003-12-01T08:00:00.000Z,32,Mining and Extraction
2004-01-01T08:00:00.000Z,31,Mining and Extraction
2004-02-01T08:00:00.000Z,24,Mining and Extraction
2004-03-01T08:00:00.000Z,22,Mining and Extraction
2004-04-01T08:00:00.000Z,34,Mining and Extraction
2004-05-01T07:00:00.000Z,22,Mining and Extraction
2004-06-01T07:00:00.000Z,27,Mining and Extraction
2004-07-01T07:00:00.000Z,28,Mining and Extraction
2004-08-01T07:00:00.000Z,10,Mining and Extraction
2004-09-01T07:00:00.000Z,8,Mining and Extraction
2004-10-01T07:00:00.000Z,15,Mining and Extraction
2004-11-01T08:00:00.000Z,20,Mining and Extraction
2004-12-01T08:00:00.000Z,16,Mining and Extraction
2005-01-01T08:00:00.000Z,29,Mining and Extraction
2005-02-01T08:00:00.000Z,25,Mining and Extraction
2005-03-01T08:00:00.000Z,32,Mining and Extraction
2005-04-01T08:00:00.000Z,19,Mining and Extraction
2005-05-01T07:00:00.000Z,16,Mining and Extraction
2005-06-01T07:00:00.000Z,25,Mining and Extraction
2005-07-01T07:00:00.000Z,22,Mining and Extraction
2005-08-01T07:00:00.000Z,12,Mining and Extraction
2005-09-01T07:00:00.000Z,12,Mining and Extraction
2005-10-01T07:00:00.000Z,2,Mining and Extraction
2005-11-01T08:00:00.000Z,18,Mining and Extraction
2005-12-01T08:00:00.000Z,23,Mining and Extraction
2006-01-01T08:00:00.000Z,26,Mining and Extraction
2006-02-01T08:00:00.000Z,25,Mining and Extraction
2006-03-01T08:00:00.000Z,14,Mining and Extraction
2006-04-01T08:00:00.000Z,17,Mining and Extraction
2006-05-01T07:00:00.000Z,20,Mining and Extraction
2006-06-01T07:00:00.000Z,31,Mining and Extraction
2006-07-01T07:00:00.000Z,25,Mining and Extraction
2006-08-01T07:00:00.000Z,32,Mining and Extraction
2006-09-01T07:00:00.000Z,14,Mining and Extraction
2006-10-01T07:00:00.000Z,15,Mining and Extraction
2006-11-01T08:00:00.000Z,22,Mining and Extraction
2006-12-01T08:00:00.000Z,25,Mining and Extraction
2007-01-01T08:00:00.000Z,35,Mining and Extraction
2007-02-01T08:00:00.000Z,33,Mining and Extraction
2007-03-01T08:00:00.000Z,24,Mining and Extraction
2007-04-01T07:00:00.000Z,17,Mining and Extraction
2007-05-01T07:00:00.000Z,22,Mining and Extraction
2007-06-01T07:00:00.000Z,33,Mining and Extraction
2007-07-01T07:00:00.000Z,33,Mining and Extraction
2007-08-01T07:00:00.000Z,33,Mining and Extraction
2007-09-01T07:00:00.000Z,25,Mining and Extraction
2007-10-01T07:00:00.000Z,9,Mining and Extraction
2007-11-01T07:00:00.000Z,16,Mining and Extraction
2007-12-01T08:00:00.000Z,24,Mining and Extraction
2008-01-01T08:00:00.000Z,28,Mining and Extraction
2008-02-01T08:00:00.000Z,16,Mining and Extraction
2008-03-01T08:00:00.000Z,28,Mining and Extraction
2008-04-01T07:00:00.000Z,28,Mining and Extraction
2008-05-01T07:00:00.000Z,28,Mining and Extraction
2008-06-01T07:00:00.000Z,28,Mining and Extraction
2008-07-01T07:00:00.000Z,13,Mining and Extraction
2008-08-01T07:00:00.000Z,17,Mining and Extraction
2008-09-01T07:00:00.000Z,25,Mining and Extraction
2008-10-01T07:00:00.000Z,15,Mining and Extraction
2008-11-01T07:00:00.000Z,32,Mining and Extraction
2008-12-01T08:00:00.000Z,46,Mining and Extraction
2009-01-01T08:00:00.000Z,59,Mining and Extraction
2009-02-01T08:00:00.000Z,63,Mining and Extraction
2009-03-01T08:00:00.000Z,105,Mining and Extraction
2009-04-01T07:00:00.000Z,125,Mining and Extraction
2009-05-01T07:00:00.000Z,98,Mining and Extraction
2009-06-01T07:00:00.000Z,100,Mining and Extraction
2009-07-01T07:00:00.000Z,95,Mining and Extraction
2009-08-01T07:00:00.000Z,93,Mining and Extraction
2009-09-01T07:00:00.000Z,76,Mining and Extraction
2009-10-01T07:00:00.000Z,84,Mining and Extraction
2009-11-01T07:00:00.000Z,96,Mining and Extraction
2009-12-01T08:00:00.000Z,89,Mining and Extraction
2010-01-01T08:00:00.000Z,68,Mining and Extraction
2010-02-01T08:00:00.000Z,79,Mining and Extraction
2000-01-01T08:00:00.000Z,745,Construction
2000-02-01T08:00:00.000Z,812,Construction
2000-03-01T08:00:00.000Z,669,Construction
2000-04-01T08:00:00.000Z,447,Construction
2000-05-01T07:00:00.000Z,397,Construction
2000-06-01T07:00:00.000Z,389,Construction
2000-07-01T07:00:00.000Z,384,Construction
2000-08-01T07:00:00.000Z,446,Construction
2000-09-01T07:00:00.000Z,386,Construction
2000-10-01T07:00:00.000Z,417,Construction
2000-11-01T08:00:00.000Z,482,Construction
2000-12-01T08:00:00.000Z,580,Construction
2001-01-01T08:00:00.000Z,836,Construction
2001-02-01T08:00:00.000Z,826,Construction
2001-03-01T08:00:00.000Z,683,Construction
2001-04-01T08:00:00.000Z,596,Construction
2001-05-01T07:00:00.000Z,478,Construction
2001-06-01T07:00:00.000Z,443,Construction
2001-07-01T07:00:00.000Z,447,Construction
2001-08-01T07:00:00.000Z,522,Construction
2001-09-01T07:00:00.000Z,489,Construction
2001-10-01T07:00:00.000Z,535,Construction
2001-11-01T08:00:00.000Z,670,Construction
2001-12-01T08:00:00.000Z,785,Construction
2002-01-01T08:00:00.000Z,1211,Construction
2002-02-01T08:00:00.000Z,1060,Construction
2002-03-01T08:00:00.000Z,1009,Construction
2002-04-01T08:00:00.000Z,855,Construction
2002-05-01T07:00:00.000Z,626,Construction
2002-06-01T07:00:00.000Z,593,Construction
2002-07-01T07:00:00.000Z,594,Construction
2002-08-01T07:00:00.000Z,654,Construction
2002-09-01T07:00:00.000Z,615,Construction
2002-10-01T07:00:00.000Z,680,Construction
2002-11-01T08:00:00.000Z,758,Construction
2002-12-01T08:00:00.000Z,941,Construction
2003-01-01T08:00:00.000Z,1196,Construction
2003-02-01T08:00:00.000Z,1173,Construction
2003-03-01T08:00:00.000Z,987,Construction
2003-04-01T08:00:00.000Z,772,Construction
2003-05-01T07:00:00.000Z,715,Construction
2003-06-01T07:00:00.000Z,710,Construction
2003-07-01T07:00:00.000Z,677,Construction
2003-08-01T07:00:00.000Z,650,Construction
2003-09-01T07:00:00.000Z,681,Construction
2003-10-01T07:00:00.000Z,651,Construction
2003-11-01T08:00:00.000Z,690,Construction
2003-12-01T08:00:00.000Z,813,Construction
2004-01-01T08:00:00.000Z,994,Construction
2004-02-01T08:00:00.000Z,1039,Construction
2004-03-01T08:00:00.000Z,1011,Construction
2004-04-01T08:00:00.000Z,849,Construction
2004-05-01T07:00:00.000Z,665,Construction
2004-06-01T07:00:00.000Z,668,Construction
2004-07-01T07:00:00.000Z,610,Construction
2004-08-01T07:00:00.000Z,563,Construction
2004-09-01T07:00:00.000Z,629,Construction
2004-10-01T07:00:00.000Z,635,Construction
2004-11-01T08:00:00.000Z,695,Construction
2004-12-01T08:00:00.000Z,870,Construction
2005-01-01T08:00:00.000Z,1079,Construction
2005-02-01T08:00:00.000Z,1150,Construction
2005-03-01T08:00:00.000Z,961,Construction
2005-04-01T08:00:00.000Z,693,Construction
2005-05-01T07:00:00.000Z,567,Construction
2005-06-01T07:00:00.000Z,559,Construction
2005-07-01T07:00:00.000Z,509,Construction
2005-08-01T07:00:00.000Z,561,Construction
2005-09-01T07:00:00.000Z,572,Construction
2005-10-01T07:00:00.000Z,519,Construction
2005-11-01T08:00:00.000Z,564,Construction
2005-12-01T08:00:00.000Z,813,Construction
2006-01-01T08:00:00.000Z,868,Construction
2006-02-01T08:00:00.000Z,836,Construction
2006-03-01T08:00:00.000Z,820,Construction
2006-04-01T08:00:00.000Z,674,Construction
2006-05-01T07:00:00.000Z,647,Construction
2006-06-01T07:00:00.000Z,569,Construction
2006-07-01T07:00:00.000Z,633,Construction
2006-08-01T07:00:00.000Z,618,Construction
2006-09-01T07:00:00.000Z,586,Construction
2006-10-01T07:00:00.000Z,456,Construction
2006-11-01T08:00:00.000Z,618,Construction
2006-12-01T08:00:00.000Z,725,Construction
2007-01-01T08:00:00.000Z,922,Construction
2007-02-01T08:00:00.000Z,1086,Construction
2007-03-01T08:00:00.000Z,924,Construction
2007-04-01T07:00:00.000Z,853,Construction
2007-05-01T07:00:00.000Z,676,Construction
2007-06-01T07:00:00.000Z,600,Construction
2007-07-01T07:00:00.000Z,617,Construction
2007-08-01T07:00:00.000Z,558,Construction
2007-09-01T07:00:00.000Z,596,Construction
2007-10-01T07:00:00.000Z,641,Construction
2007-11-01T07:00:00.000Z,645,Construction
2007-12-01T08:00:00.000Z,968,Construction
2008-01-01T08:00:00.000Z,1099,Construction
2008-02-01T08:00:00.000Z,1118,Construction
2008-03-01T08:00:00.000Z,1170,Construction
2008-04-01T07:00:00.000Z,1057,Construction
2008-05-01T07:00:00.000Z,809,Construction
2008-06-01T07:00:00.000Z,785,Construction
2008-07-01T07:00:00.000Z,783,Construction
2008-08-01T07:00:00.000Z,814,Construction
2008-09-01T07:00:00.000Z,970,Construction
2008-10-01T07:00:00.000Z,1078,Construction
2008-11-01T07:00:00.000Z,1237,Construction
2008-12-01T08:00:00.000Z,1438,Construction
2009-01-01T08:00:00.000Z,1744,Construction
2009-02-01T08:00:00.000Z,2025,Construction
2009-03-01T08:00:00.000Z,1979,Construction
2009-04-01T07:00:00.000Z,1737,Construction
2009-05-01T07:00:00.000Z,1768,Construction
2009-06-01T07:00:00.000Z,1601,Construction
2009-07-01T07:00:00.000Z,1687,Construction
2009-08-01T07:00:00.000Z,1542,Construction
2009-09-01T07:00:00.000Z,1594,Construction
2009-10-01T07:00:00.000Z,1744,Construction
2009-11-01T07:00:00.000Z,1780,Construction
2009-12-01T08:00:00.000Z,2044,Construction
2010-01-01T08:00:00.000Z,2194,Construction
2010-02-01T08:00:00.000Z,2440,Construction
2000-01-01T08:00:00.000Z,734,Manufacturing
2000-02-01T08:00:00.000Z,694,Manufacturing
2000-03-01T08:00:00.000Z,739,Manufacturing
2000-04-01T08:00:00.000Z,736,Manufacturing
2000-05-01T07:00:00.000Z,685,Manufacturing
2000-06-01T07:00:00.000Z,621,Manufacturing
2000-07-01T07:00:00.000Z,708,Manufacturing
